name,surname,fullname,sex,birth date,id,id_type
Enza,Scardamaglio,Enza Scardamaglio,female,1996-03-23,NR1783894,Italian passport
Rosa,Raya Vasquez,Rosa Raya Vasquez,female,1964-11-20,PX11055HH,Italian electronic identity card
Stefano,Ferrari,Stefano Ferrari,male,1945-07-12,AI9509305T,Italian driving license card
Edda,Rizzato,Edda Rizzato,female,1993-11-03,ZR7008572,Italian passport
Paolo,Amato,Paolo Amato,male,1949-08-07,DD5654471,Italian passport
Elena,Mencarelli,Elena Mencarelli,female,2018-01-18,SQ84634HL,Italian electronic identity card
Aleksandra,Kudriavtseva,Aleksandra Kudriavtseva,female,1984-11-04,YJ83639TE,Italian electronic identity card
Giuliana,Costarella,Giuliana Costarella,female,1961-09-16,GA24515QB,Italian electronic identity card
Claudio,Cornetti,Claudio Cornetti,male,1955-04-04,YO2109100,Italian passport
Lucia,del Gaudio,Lucia del Gaudio,female,1988-07-22,JY5691652G,Italian driving license card
Alfredo,Bove,Alfredo Bove,male,1976-06-28,BC6188911,Italian passport
Roberto,Sorbara,Roberto Sorbara,male,1988-01-19,SY4258395,Italian passport
Hassan,Ouabeltaine,Hassan Ouabeltaine,male,2007-08-10,XQ2721587,Italian passport
Emanuele,Cardone,Emanuele Cardone,male,1948-01-12,XB1114626,Italian passport
Michaela,Cappellini,Michaela Cappellini,female,1937-04-11,JV43611TY,Italian electronic identity card
Mattia,Spezzani,Mattia Spezzani,male,1962-05-31,YU9651896T,Italian driving license card
Veronica,Melis,Veronica Melis,female,1960-07-05,SV7108448L,Italian driving license card
Ciz,Cabro,Ciz Cabro,male,1951-10-22,KZ3952569,Italian passport
Alessandra,Onorati,Alessandra Onorati,female,1969-09-18,UR4228927M,Italian driving license card
Lucio,Bartolomasi,Lucio Bartolomasi,male,1977-11-21,WT9478820,Italian passport
Enrico,Bonacossa,Enrico Bonacossa,male,2017-07-11,BR87800TI,Italian electronic identity card
Rachele,Santi,Rachele Santi,female,1971-02-13,ZB5472709,Italian passport
Silvia,Melani,Silvia Melani,female,1953-07-21,BA76742ZG,Italian electronic identity card
Chiara,Ricci,Chiara Ricci,female,2002-05-20,KW5895195,Italian passport
Francesco,Contu,Francesco Contu,male,1984-08-04,JN9278094,Italian passport
Wanda,Petrazzuolo,Wanda Petrazzuolo,female,1989-02-22,RF85393FT,Italian electronic identity card
Gianfranco,Scotto,Gianfranco Scotto,male,1940-07-02,YZ5150616,Italian passport
Andrea,Scotto,Andrea Scotto,male,2004-01-12,AA9435865Z,Italian driving license card
Marco,Cristi,Marco Cristi,male,1980-02-18,QT4001134F,Italian driving license card
Naia,Naiuccia,Naia Naiuccia,female,1953-03-21,NP9619203,Italian passport
Adina,Elena,Adina Elena,female,1966-02-22,DW1636782F,Italian driving license card
Angelo,Salvatore,Angelo Salvatore,male,1963-04-03,LH4786008,Italian passport
Marcella,Stagno,Marcella Stagno,female,1979-09-06,XH32470ZW,Italian electronic identity card
Daniela,Arpe,Daniela Arpe,female,2018-05-31,YA8313827F,Italian driving license card
Marisa,Guastella,Marisa Guastella,female,1938-06-14,FB6668967Z,Italian driving license card
Marco,Bianchini,Marco Bianchini,male,1943-10-23,MD5329924,Italian passport
Stefan,Borsato,Stefan Borsato,male,1992-11-01,EW2081608O,Italian driving license card
Alessandra,Macaluso,Alessandra Macaluso,female,1979-09-02,XQ6379528O,Italian driving license card
Adriane,Destri,Adriane Destri,female,1964-05-02,GK7002955Q,Italian driving license card
Roberto,Falbo,Roberto Falbo,male,1988-02-04,WB91012SX,Italian electronic identity card
Mariacristina,Brini,Mariacristina Brini,female,1966-11-17,XM2785171R,Italian driving license card
Federico,Cavagna,Federico Cavagna,male,2007-04-02,IJ2920015A,Italian driving license card
Bruna,Grieco,Bruna Grieco,female,1940-03-03,PM6531944,Italian passport
Lorenza,Bucci,Lorenza Bucci,female,1943-12-11,HO6537287L,Italian driving license card
Marta,Faggiano,Marta Faggiano,female,1998-11-20,YU12986ZJ,Italian electronic identity card
Raimondo,Lauricella,Raimondo Lauricella,male,1960-03-14,HK49195PH,Italian electronic identity card
Antonella,Auteri,Antonella Auteri,female,2005-02-17,KZ8841382,Italian passport
Livia,Colarusso,Livia Colarusso,female,2002-09-13,TZ9576526,Italian passport
Teresa,Di Vito,Teresa Di Vito,female,1961-06-09,VG6961384,Italian passport
Paolo,Mercurio,Paolo Mercurio,male,2013-02-12,SD4608780,Italian passport
Paolo,Rossi,Paolo Rossi,male,2010-05-06,DK12159CA,Italian electronic identity card
Mariarca,Clavo,Mariarca Clavo,female,1953-01-27,VN4254000,Italian passport
Asia,Fumanti,Asia Fumanti,female,2017-04-18,RO1658520,Italian passport
Fabrizio,Tortelli,Fabrizio Tortelli,male,1945-12-03,TY6594302,Italian passport
Fabio,Pergolini,Fabio Pergolini,male,1963-05-18,JT1253795,Italian passport
Roberto,Aristia,Roberto Aristia,male,1943-06-21,OR9250382R,Italian driving license card
Francesca Hsc,Shen,Francesca Hsc Shen,female,2015-12-07,BV55974MT,Italian electronic identity card
Darina,Goriunova,Darina Goriunova,female,1937-01-13,FM91970UZ,Italian electronic identity card
Mauro,Marnini,Mauro Marnini,male,1997-02-25,BU1068595B,Italian driving license card
Laura,Oliveri,Laura Oliveri,female,1967-09-30,MZ4736147,Italian passport
Delia,Righi Di Lenna,Delia Righi Di Lenna,female,1946-06-16,OO7693349,Italian passport
Mattia,Merlotto,Mattia Merlotto,male,1939-12-08,AG4456823,Italian passport
Anjeza,Ormeni,Anjeza Ormeni,female,1961-06-05,QM57900TR,Italian electronic identity card
Bruno,Palmieri,Bruno Palmieri,male,1947-08-17,HW2727967I,Italian driving license card
Abdramane,Kone,Abdramane Kone,male,1990-09-04,IK15398RM,Italian electronic identity card
Pasquale,Monaco,Pasquale Monaco,male,2018-04-30,BF6742263,Italian passport
Giorgia,Borrelli,Giorgia Borrelli,male,2007-07-08,WF4072446F,Italian driving license card
Carmen,Livelli,Carmen Livelli,female,2004-09-19,VD83014KZ,Italian electronic identity card
Alessandro,Grossi,Alessandro Grossi,male,1952-03-23,EL30275DM,Italian electronic identity card
Alexandra,Popescu,Alexandra Popescu,female,1952-05-07,NW87305IA,Italian electronic identity card
Emi,Strike,Emi Strike,female,1949-04-29,ST9917909,Italian passport
Ferdinando,Stingone,Ferdinando Stingone,male,1949-05-17,IJ42328XO,Italian electronic identity card
Walter,Catalano,Walter Catalano,male,2005-03-31,QN7999111,Italian passport
Maria,Tumminello,Maria Tumminello,female,2007-05-06,YK63402TQ,Italian electronic identity card
Minutella,Giovanni,Minutella Giovanni,male,1963-05-27,XC5301240B,Italian driving license card
EnRico,Guarino,EnRico Guarino,male,2003-11-15,SD4471191,Italian passport
Felice,Esposito,Felice Esposito,male,1957-11-20,VC9362969I,Italian driving license card
Alba,Hyseni,Alba Hyseni,female,1972-06-10,IB92528NG,Italian electronic identity card
Marco,Barbazza,Marco Barbazza,male,2007-01-26,RS23540ES,Italian electronic identity card
Luigi D.,Carceriere,Luigi D. Carceriere,male,1963-03-11,JS40036HL,Italian electronic identity card
Angy,Zarrelli,Angy Zarrelli,female,1986-03-27,MR6972604,Italian passport
Salvatore,Viglianti,Salvatore Viglianti,male,1971-12-24,RX7218626O,Italian driving license card
Serghei,Istrati,Serghei Istrati,male,2006-10-27,IP7054026V,Italian driving license card
Rita,Esposito,Rita Esposito,female,1948-12-16,JE6663872,Italian passport
Valentina,Colun,Valentina Colun,female,1970-01-17,QX38387ZI,Italian electronic identity card
Ahmed,Laabid,Ahmed Laabid,male,1971-02-04,QU3131953,Italian passport
Ala,Budei,Ala Budei,female,1986-04-19,PX2201959G,Italian driving license card
Alessandra,Ciroli,Alessandra Ciroli,female,2019-10-10,JQ5492502L,Italian driving license card
Enrico,Russo,Enrico Russo,male,1959-06-11,WX5692651,Italian passport
Caterina,Tomassetti,Caterina Tomassetti,female,1967-09-18,UW2167177D,Italian driving license card
Alex,del Piero,Alex del Piero,male,1999-01-06,KZ9564280,Italian passport
Pietro,Castaldo,Pietro Castaldo,male,1997-07-19,KZ9155274E,Italian driving license card
Marco,Flammini,Marco Flammini,male,2017-05-12,YD4244613N,Italian driving license card
Md,Ibrahim,Md Ibrahim,male,1964-02-26,KD9006712,Italian passport
Milena,Del Roio,Milena Del Roio,female,1946-11-29,LN2101146S,Italian driving license card
Giulia,Collepiccolo,Giulia Collepiccolo,female,1957-01-13,HA76991SP,Italian electronic identity card
Domenico,Autieri,Domenico Autieri,male,1955-04-20,EQ8658918,Italian passport
Oprea,Danut Vasile,Oprea Danut Vasile,male,1989-05-22,LM99737ET,Italian electronic identity card
Francesco,Fossari,Francesco Fossari,male,1992-09-10,EA4422507,Italian passport
Fede,Piras,Fede Piras,female,1992-05-12,LZ6982928J,Italian driving license card
Fiamma,Invernizzi,Fiamma Invernizzi,female,1960-11-23,XG1049305,Italian passport
Marco,Conigliaro,Marco Conigliaro,male,1988-10-12,JA8942095,Italian passport
Carlo,Busato,Carlo Busato,male,1940-10-06,CO32983AT,Italian electronic identity card
Roberta,Taccone,Roberta Taccone,female,1940-04-26,EX31387VC,Italian electronic identity card
Luisa,Nardi,Luisa Nardi,female,1939-05-14,XI63831YC,Italian electronic identity card
Angela,Rutigliano,Angela Rutigliano,female,2009-05-07,CZ6757648T,Italian driving license card
Marcello,Borzacconi,Marcello Borzacconi,male,1938-07-04,RI9277107L,Italian driving license card
Luana,D'Amico,Luana D'Amico,female,1969-09-22,KO1051211S,Italian driving license card
Lo Rillo,Maria Pia,Lo Rillo Maria Pia,female,1998-08-24,VV4204943X,Italian driving license card
Giuseppina,Cenname,Giuseppina Cenname,female,1991-01-29,AN37798UI,Italian electronic identity card
Khaoula,Ben Abdelkrim Grissa,Khaoula Ben Abdelkrim Grissa,female,1945-06-29,BZ7910758R,Italian driving license card
Tiziano,Marin,Tiziano Marin,male,2014-06-27,NN8914393,Italian passport
Giuseppe,Monaldi,Giuseppe Monaldi,male,1939-08-22,UW1101622,Italian passport
Doina,Tatu,Doina Tatu,female,2019-05-26,UD5433177,Italian passport
Alessandro,Russo,Alessandro Russo,male,2020-07-28,QK1850497E,Italian driving license card
Ingrid,Muffolini,Ingrid Muffolini,female,1943-08-13,JC8358945Z,Italian driving license card
Souad,Ben Maaoui,Souad Ben Maaoui,female,1947-07-26,PE11206NP,Italian electronic identity card
Giulia Dalal,Akkad,Giulia Dalal Akkad,female,2013-03-31,ME37664MS,Italian electronic identity card
سامح البنا,البنا,سامح البنا البنا,male,1954-12-16,NI4363621S,Italian driving license card
Diego,Faro,Diego Faro,male,1970-11-30,WT37107VO,Italian electronic identity card
Devis,Natali,Devis Natali,male,2008-07-25,PV6972439V,Italian driving license card
Alessandro,Simone,Alessandro Simone,male,1982-10-17,OG34926IU,Italian electronic identity card
Angelo,d'Angelo,Angelo d'Angelo,male,1995-11-22,ZQ45807OR,Italian electronic identity card
Mostafa,Houda,Mostafa Houda,male,1967-10-19,QZ4571013,Italian passport
Luigi,Guidotto,Luigi Guidotto,male,1979-01-07,VS2003386R,Italian driving license card
Arju,Akter,Arju Akter,female,1993-09-14,XJ99838SL,Italian electronic identity card
Loredana,Barbini,Loredana Barbini,female,1998-04-22,JX1849656,Italian passport
Katarzyna,Letnianczyn,Katarzyna Letnianczyn,female,2015-05-13,XP9750484,Italian passport
Martina,Grendene,Martina Grendene,female,1979-08-10,UQ98208MC,Italian electronic identity card
Maricica,Rusu,Maricica Rusu,female,1957-11-25,RW2564266,Italian passport
Cinzia,Pece,Cinzia Pece,female,1937-01-25,JK1774365B,Italian driving license card
Radu,Malanca,Radu Malanca,male,1933-12-02,DK8302359J,Italian driving license card
Antonio,Curcio,Antonio Curcio,male,1996-09-11,NG65860UI,Italian electronic identity card
Danilo,Pontecorvo,Danilo Pontecorvo,male,1984-11-29,IW98476BP,Italian electronic identity card
Siria,Spina,Siria Spina,female,1962-01-01,GD99844HP,Italian electronic identity card
Anna Lucia,Peluso,Anna Lucia Peluso,female,1974-04-04,SI5051029,Italian passport
Filippo,Tonel,Filippo Tonel,male,2000-10-12,WD65523RN,Italian electronic identity card
Federico,Marinelli,Federico Marinelli,male,1982-06-08,ZR49603QC,Italian electronic identity card
Francesco,Condello,Francesco Condello,male,1960-10-02,BV89855SN,Italian electronic identity card
Umberto,Barbato,Umberto Barbato,male,2013-11-11,IY4201999G,Italian driving license card
Michela,Benvenuti,Michela Benvenuti,female,1934-06-25,CY25358LV,Italian electronic identity card
Alessio,Chiesa,Alessio Chiesa,male,2002-12-13,UW9654433C,Italian driving license card
Mario,Ingrao,Mario Ingrao,male,1943-05-07,CA5036407H,Italian driving license card
Franca,Lo Bosco,Franca Lo Bosco,female,1964-03-13,KC4065619H,Italian driving license card
Chicca,Franco,Chicca Franco,male,2003-03-09,XD22126JI,Italian electronic identity card
Elda,Testoni,Elda Testoni,female,1947-06-23,OO4345119Z,Italian driving license card
Angelo,Tomasini,Angelo Tomasini,male,1931-06-29,RA37926EQ,Italian electronic identity card
Gennaro,De Tommaso,Gennaro De Tommaso,male,1999-04-23,JE8551216,Italian passport
Rita,Verdino,Rita Verdino,female,1967-11-17,QM3427063O,Italian driving license card
Stefano,Amato,Stefano Amato,male,1964-12-16,ON1717380,Italian passport
MariaLisa,Messina,MariaLisa Messina,female,1998-06-06,YW79145PI,Italian electronic identity card
Sabato,Nappi,Sabato Nappi,male,1986-07-24,SU26229WD,Italian electronic identity card
Enri,Feru,Enri Feru,male,2016-11-09,DD29928XB,Italian electronic identity card
Enzo E,Concy,Enzo E Concy,male,1953-10-17,EX6693752R,Italian driving license card
Massimiliano,Schiarizza,Massimiliano Schiarizza,male,1987-06-19,QO43337FV,Italian electronic identity card
Stefania,De Maio,Stefania De Maio,female,1943-09-19,AR87429FI,Italian electronic identity card
Stella,Tancredi,Stella Tancredi,female,1933-08-02,WY7774505D,Italian driving license card
Marco,Marsili,Marco Marsili,male,1988-06-14,NL1050623N,Italian driving license card
Francesco,Gariboldi,Francesco Gariboldi,male,1944-02-18,TY68687YG,Italian electronic identity card
Antonietta,Ansaldi,Antonietta Ansaldi,female,1935-12-09,XH5601701,Italian passport
Марина,Михеева,Марина Михеева,female,1985-11-24,WO3171060,Italian passport
Luca,Vetrani,Luca Vetrani,male,1939-05-19,NJ6347522,Italian passport
Valentina,Fiorbello,Valentina Fiorbello,female,1994-08-02,MX3083842E,Italian driving license card
Ingrosso,Roma,Ingrosso Roma,male,1993-05-16,DG55506UU,Italian electronic identity card
Clara,Carbone,Clara Carbone,female,2002-05-28,DE29020HP,Italian electronic identity card
Giuseppe,Borriello,Giuseppe Borriello,male,1970-08-21,LT7474072J,Italian driving license card
Raffaella,Carbone,Raffaella Carbone,female,1935-06-25,YD6631303I,Italian driving license card
Divalady,Frassineti,Divalady Frassineti,female,1936-11-07,FN9895696S,Italian driving license card
Carmen,Palmiero,Carmen Palmiero,female,1980-01-26,HV1642990R,Italian driving license card
Massimo,Bonci Sergino,Massimo Bonci Sergino,male,1952-03-18,OY26831BC,Italian electronic identity card
Monica,Michelangioli,Monica Michelangioli,female,2007-12-31,FB32129HW,Italian electronic identity card
Crescenzo,Di Gennaro,Crescenzo Di Gennaro,male,1985-09-11,DE6194327K,Italian driving license card
Lorena,Chiossi,Lorena Chiossi,female,1965-07-20,PL6997701L,Italian driving license card
Leonora,Busatti,Leonora Busatti,female,1986-10-16,PM43458ZR,Italian electronic identity card
Fabrizio,Berni,Fabrizio Berni,male,1965-02-28,UF31073YM,Italian electronic identity card
Dina,Giammarrusto,Dina Giammarrusto,female,1945-09-11,HT5751054Q,Italian driving license card
Giampiero,Serri,Giampiero Serri,male,1966-08-18,GN6311794Y,Italian driving license card
Filippo,Contardi,Filippo Contardi,male,1993-01-17,AP58525KH,Italian electronic identity card
Alessandro,Bruni,Alessandro Bruni,male,2015-11-01,UZ9931303,Italian passport
Shafiqe,Ahmad,Shafiqe Ahmad,male,1970-03-25,WH1428878,Italian passport
Mattia,Spaccarotella,Mattia Spaccarotella,male,1968-04-13,WR6156313,Italian passport
Yelena,Skirko,Yelena Skirko,female,1993-08-25,WY5866087,Italian passport
Dennis,Tavares,Dennis Tavares,male,1997-01-27,PA65651DR,Italian electronic identity card
Antonina,Cannici,Antonina Cannici,female,1950-03-24,NE1257603,Italian passport
Pasquale,Malf,Pasquale Malf,male,2011-03-17,IM5219788,Italian passport
Roberto,Corrente,Roberto Corrente,male,1948-09-28,DU7117878,Italian passport
Yolanda,Chavez,Yolanda Chavez,female,1996-07-31,RI7949313,Italian passport
Vinícius,Alciati Gonçalves,Vinícius Alciati Gonçalves,male,1988-08-19,IR9738557,Italian passport
Claudio,Auletta Gambilongo,Claudio Auletta Gambilongo,male,1940-05-21,VA9700283,Italian passport
Nellina,Cascio,Nellina Cascio,female,1986-06-05,UN22786BS,Italian electronic identity card
Rosetta,Del Giudice,Rosetta Del Giudice,female,1959-08-07,MC34780ZT,Italian electronic identity card
Gina,Mazzon,Gina Mazzon,female,2003-03-10,OD1976888G,Italian driving license card
Valeria,Deponti,Valeria Deponti,female,1982-09-27,AY9017045,Italian passport
Anna,Chiffi,Anna Chiffi,female,1975-08-14,CM3263264A,Italian driving license card
Daniele,Viviani,Daniele Viviani,male,1933-04-09,UO2243571,Italian passport
Vince,Holy,Vince Holy,female,1963-06-11,LX40708WT,Italian electronic identity card
Enzo,Cassetta,Enzo Cassetta,male,1989-03-04,CR1211213,Italian passport
Maria Grazia,Poggi,Maria Grazia Poggi,female,1965-04-27,WM4420877,Italian passport
Giorgia,Marchetti,Giorgia Marchetti,female,1964-02-03,RB6752017,Italian passport
Fede,Martins,Fede Martins,male,2008-02-27,EX2313970X,Italian driving license card
Anna,Pediconi,Anna Pediconi,female,1965-05-28,WN8930675,Italian passport
Luca,Viscovo,Luca Viscovo,male,1999-09-18,ET81051OG,Italian electronic identity card
Anna,Cazzaniga,Anna Cazzaniga,female,2016-09-02,MM5561352,Italian passport
Viorel,Burlacu,Viorel Burlacu,male,1945-08-08,FU5022672K,Italian driving license card
Diego,Civitella,Diego Civitella,male,2015-03-09,QJ8217200V,Italian driving license card
Cesare,Eaposito,Cesare Eaposito,male,1933-07-01,HE2765641O,Italian driving license card
Luigi,Capogna,Luigi Capogna,male,1990-08-07,XQ3148059,Italian passport
Artemisia,Gentileschi,Artemisia Gentileschi,female,1989-12-30,KC52183FB,Italian electronic identity card
Eleonora,Brembilla,Eleonora Brembilla,female,2002-03-16,LD9716709G,Italian driving license card
Alessio,Bruno,Alessio Bruno,male,1980-09-04,KM1023413,Italian passport
Annamaria,Spagnol,Annamaria Spagnol,female,1972-10-23,FS1226787E,Italian driving license card
Alda,Silveira,Alda Silveira,female,1949-03-18,BD57747HE,Italian electronic identity card
Вадим,Форостяний,Вадим Форостяний,male,2004-08-02,LQ8349702,Italian passport
Ada,Zocco,Ada Zocco,female,1935-08-11,MO8073579Z,Italian driving license card
Irene,Pumilia,Irene Pumilia,female,1969-03-19,EX41441YP,Italian electronic identity card
Michele,Grassi,Michele Grassi,male,1961-03-26,WN7556271R,Italian driving license card
Angelo,Contini,Angelo Contini,male,1985-12-21,KM25254YF,Italian electronic identity card
Abdelkarim,Karima,Abdelkarim Karima,female,1996-03-09,SA1975571R,Italian driving license card
Andrea,Bacicchi,Andrea Bacicchi,male,1997-05-02,AO1287433O,Italian driving license card
Clara,Sech,Clara Sech,female,1947-07-07,FL1159873Q,Italian driving license card
Roberta,Russo,Roberta Russo,female,1943-02-07,VZ61790FF,Italian electronic identity card
Monica,Sambi,Monica Sambi,female,1931-02-21,AX4287394,Italian passport
Maria,Mazzocchi,Maria Mazzocchi,female,1972-07-21,FG5223460,Italian passport
Caterina,Scelta,Caterina Scelta,female,1940-04-16,II5046002,Italian passport
Luisa,Pepe,Luisa Pepe,female,1992-08-26,PV42180WA,Italian electronic identity card
Anna,Silvestre,Anna Silvestre,female,1976-09-27,DK42530PN,Italian electronic identity card
Antonio,Belformato,Antonio Belformato,male,2016-01-03,LC5199941,Italian passport
Martina,Minutilli,Martina Minutilli,female,1948-08-02,JX2768816N,Italian driving license card
Victoire,Mantinou,Victoire Mantinou,female,1943-07-04,FC3912486,Italian passport
Maria Teresa,Sirtori,Maria Teresa Sirtori,female,2003-02-25,EY5246029F,Italian driving license card
Ciro,Esposito,Ciro Esposito,male,1985-06-20,FO8537169M,Italian driving license card
Eleonora,Bianchini,Eleonora Bianchini,female,1944-04-22,DO9197952N,Italian driving license card
Marco,Matrella,Marco Matrella,male,1994-02-09,GV2393905,Italian passport
Natale,Giordano,Natale Giordano,male,2000-06-26,AV4696338C,Italian driving license card
Luca,Berardinelli,Luca Berardinelli,male,1931-04-24,JT9736362,Italian passport
Caterina,Scarfato,Caterina Scarfato,female,1984-02-21,DN76615PS,Italian electronic identity card
Eleonora,Tosco,Eleonora Tosco,female,1949-08-05,PV4893864,Italian passport
Alessandro,Muntoni,Alessandro Muntoni,male,1949-07-29,CJ7630741L,Italian driving license card
Giovanni,Sansone,Giovanni Sansone,male,2005-03-03,AC54369KM,Italian electronic identity card
Michael,Saija,Michael Saija,male,2016-11-02,UY17202VP,Italian electronic identity card
Umberto,Conca,Umberto Conca,male,1966-08-16,HD3565850W,Italian driving license card
Riccardo,Rossi,Riccardo Rossi,male,1959-05-23,UE7568921V,Italian driving license card
Doris Viviana,Andrade Tipan,Doris Viviana Andrade Tipan,female,2014-09-30,XA86204NN,Italian electronic identity card
Angela,Dibiase,Angela Dibiase,female,1996-01-31,RX2906417T,Italian driving license card
Fernando,Martino,Fernando Martino,male,1952-10-06,NC6880254,Italian passport
Giovanni,Ululati,Giovanni Ululati,male,1942-02-17,SI7071273,Italian passport
Martina,Monterisi,Martina Monterisi,female,1950-05-27,OF36095EV,Italian electronic identity card
Patrizia,Puglese,Patrizia Puglese,female,1935-06-17,DD4533155,Italian passport
Francesco,Carnemolla,Francesco Carnemolla,male,1991-09-28,PU77502ES,Italian electronic identity card
Davide,David,Davide David,male,1992-10-12,JX4511424A,Italian driving license card
Stefania,Feliziani,Stefania Feliziani,female,1948-12-28,HF4650029,Italian passport
Ahmed,Gourram,Ahmed Gourram,male,2019-06-29,QK8777496D,Italian driving license card
Maurizio,Innocenti,Maurizio Innocenti,male,1938-08-14,AU43092RP,Italian electronic identity card
Chiara,Santangeli,Chiara Santangeli,female,2000-06-14,QY71889KS,Italian electronic identity card
Ibrahima,Diallo,Ibrahima Diallo,male,1939-01-20,JZ4807728T,Italian driving license card
Xabi,Franz,Xabi Franz,male,1985-08-06,LJ61848LC,Italian electronic identity card
Franca,Altimari,Franca Altimari,female,1963-05-23,UJ76475ID,Italian electronic identity card
Gigante,Rosa,Gigante Rosa,female,1987-01-26,LC4090482,Italian passport
Nicola,Cimmino,Nicola Cimmino,male,2019-06-09,HS80963OM,Italian electronic identity card
